,student_id,group,region,category,score,target
0,1,A,West,C,80.21122428379338,0
1,2,B,West,B,81.45215585950056,1
2,3,A,South,A,80.55604466003449,1
3,4,A,East,B,75.8958068125525,0
4,5,A,West,B,73.02661579692673,0
5,6,B,North,B,73.48726716346488,1
6,7,A,East,C,73.0509171964732,0
7,8,A,East,C,86.33770096867065,1
8,9,A,East,C,80.93556722280861,0
9,10,B,East,C,45.59611365335719,0
10,11,A,West,D,81.55900776529761,0
11,12,A,South,C,76.94736194718774,0
12,13,A,East,D,74.81291243554102,0
13,14,A,East,A,71.11481546911114,1
14,15,B,North,A,86.24112719986013,1
15,16,A,North,A,84.47526462122858,1
16,17,B,South,C,67.27122332176391,0
17,18,B,East,D,79.07052287124534,1
18,19,B,East,,65.28343265458714,0
19,20,A,North,D,61.20381835211069,0
20,21,B,West,A,68.73282775410036,0
21,22,A,South,D,83.62393472382759,1
22,23,B,East,B,84.53125045376086,1
23,24,B,East,A,80.13085420097293,0
24,25,B,East,B,82.25095786847997,1
25,26,B,South,B,80.16178287114958,1
26,27,B,South,B,68.58518404777048,1
27,28,B,South,B,79.31922544673941,1
28,29,B,North,D,83.00409525227683,1
29,30,B,East,C,82.54291329813574,1
30,31,A,East,B,86.88913371474644,1
31,32,A,East,C,82.08303847201064,1
32,33,B,East,C,78.51448207541583,0
33,34,B,West,B,85.70150238316427,1
34,35,B,East,B,74.7347874075094,1
35,36,A,East,A,66.18125348772283,0
36,37,B,East,A,73.36933036056236,1
37,38,A,South,C,67.55097355193551,1
38,39,A,South,A,68.24821725025619,1
39,40,A,North,C,120.39530570166389,1
40,41,A,East,C,67.07580079000039,0
41,42,A,West,A,71.9203847036096,0
42,43,B,South,,56.06385333046215,0
43,44,B,West,B,77.13293707372938,1
44,45,B,West,,75.01205475362224,1
45,46,B,South,B,66.82911368931809,0
46,47,B,North,D,81.59245668432405,1
47,48,A,West,C,84.37570137626558,1
48,49,B,West,A,90.26168123453849,1
49,50,B,East,C,67.37275221433785,0
50,51,A,West,D,67.30857650212701,0
51,52,B,East,C,65.60096898891135,0
52,53,A,West,D,83.29474841931749,0
53,54,B,West,D,73.06173861227197,0
54,55,A,East,A,72.35485158689389,0
55,56,B,South,A,54.96137635593247,0
56,57,B,North,C,81.35418030209226,1
57,58,A,North,B,62.60741605146528,0
58,59,A,East,D,75.59932630266329,0
59,60,A,West,D,77.77376937958192,0
60,61,A,East,B,88.60658595838652,1
61,62,A,South,A,61.91179600880888,0
62,63,A,North,,44.80487844179174,0
63,64,A,North,B,76.83849544753694,0
64,65,A,South,,93.00511181510852,1
65,66,B,West,B,87.38946352939438,1
66,67,B,South,C,77.09659415274626,0
67,68,A,South,A,70.08363814367952,0
68,69,B,East,C,83.0712259663731,1
69,70,B,South,B,65.26453800295532,0
70,71,B,West,C,79.7635776935622,1
71,72,B,East,A,80.05470159166627,1
72,73,A,South,C,85.6020990749888,1
73,74,B,West,D,102.59660038911078,1
74,75,A,East,A,78.92415967178766,1
75,76,B,East,A,69.91036374292501,1
76,77,B,North,A,74.74425687808005,0
77,78,B,East,C,57.30924095110882,0
78,79,A,South,C,68.05286868910942,0
79,80,B,South,C,70.90717561886896,1
80,81,A,South,A,69.75911602065408,1
81,82,B,East,B,76.52354872033722,0
82,83,A,South,,66.775800676178,1
83,84,B,South,B,86.21030667324472,1
84,85,A,West,D,75.00207064918197,0
85,86,A,South,A,74.90699678861385,1
86,87,B,North,C,71.72105283487082,1
87,88,A,North,B,76.55190683858979,0
88,89,B,North,,83.25098264667635,0
89,90,B,North,C,66.32869784289099,0
90,91,B,North,C,68.41883510924744,0
91,92,B,West,D,71.96273971223336,1
92,93,B,North,A,61.54129076526785,0
